site_id,cohort,facility_name,operator,city,county,latitude,longitude,location_precision,location_confidence,status_normalized,facility_type,analysis_scope,nearest_neighbor_km,cluster,dist_transmission_any_km,dist_transmission_100kv_km,dist_transmission_230kv_km,max_voltage_within_25km_kv,transmission_owner_count_25km,dist_major_road_km,dist_interstate_km,dist_surface_water_flowline_km,named_flowlines_within_25km,county_geoid,county_name,degree_institutions_50km,cip11_completions_50km,cip14_completions_50km,degree_institutions_100km,cip11_completions_100km,cip14_completions_100km,county_total_employment,county_total_establishments,county_total_employment_flag,information_sector_employment,information_sector_establishments,information_sector_employment_flag,professional_scientific_employment,professional_scientific_establishments,professional_scientific_employment_flag,record_role
TNDC-012,primary,Flexential - Nashville/Franklin (NAS05/06),Flexential,Franklin,Williamson,35.92028,-86.815618,address_or_site,high,operational,data_center,core_data_center,3.65144110529003,C2 Nashville area,0.1564264696118872,0.1564264696118872,5.722274609053078,500.0,1,0.6342379741208156,0.6342379741208156,0.1821857162638619,1030,47187,Williamson County,35,847.0,519.0,54,1202.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,confirmed_master
TNDC-013,primary,TierPoint Nashville,TierPoint,Franklin,Williamson,35.924575,-86.85582,address_or_site,high,operational,data_center,core_data_center,3.580764672121382,C2 Nashville area,0.1963708261707566,0.1963708261707566,6.691251651484206,500.0,1,0.5817709748863257,2.973406278764428,0.397530656515906,1066,47187,Williamson County,36,859.0,519.0,53,1188.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,confirmed_master
TNDC-014,primary,Centersquare Gallatin (NAS) Campus,Centersquare,Gallatin,Sumner,36.40406,-86.39812,exact,high,operational,data_center,core_data_center,2.3980314314913542,Noise / isolated,1.541822644321149,1.541822644321149,12.415479711967578,500.0,1,0.7719361137903836,24.206824773615864,1.2778095465339745,925,47165,Sumner County,30,615.0,467.0,57,1692.0,956.0,56402,3875,G,754.0,70.0,H,1911.0,289.0,G,confirmed_master
TNDC-015,primary,Meta Gallatin Data Center Campus,Meta,Gallatin,Sumner,36.41011,-86.3724,address_or_site,medium,operational,data_center,core_data_center,2.3980314314913542,Noise / isolated,3.91959956912533,3.91959956912533,14.790394818910544,500.0,1,1.6581578932936945,24.948091855395333,0.4422402921235759,930,47165,Sumner County,29,593.0,419.0,57,1692.0,956.0,56402,3875,G,754.0,70.0,H,1911.0,289.0,G,confirmed_master
TNDC-016,primary,CleanSpark Jellico Bitcoin Mining Facility,"CleanSpark, Inc.",Jellico,Campbell,36.5825,-84.1306,approximate,medium,operational,crypto_mining,crypto_mining,28.99347267843897,Noise / isolated,1.1978992125192136,1.1978992125192136,31.896433653443474,161.0,3,0.1124495739899919,1.4793724136890174,0.3235840952448916,917,47013,Campbell County,6,1544.0,26.0,24,2138.0,994.0,7285,579,G,43.0,13.0,H,98.0,24.0,H,confirmed_master
TNDC-017,primary,Bitdeer Knoxville AI Datacenter (5101 S. National Drive),Bitdeer,Knoxville,Knox,35.941272,-83.836066,address_or_site,high,operational,data_center,core_data_center,7.584785746838801,C4 Knoxville area,0.2313865857682145,1.7093783161502618,18.81818062745676,500.0,2,1.048316797114264,7.503498068760646,0.2826796179112065,1210,47093,Knox County,11,381.0,968.0,28,1989.0,1052.0,242117,12519,G,4993.0,237.0,G,13096.0,1306.0,G,confirmed_master
TNDC-018,primary,Peace Communications KNX1,Scipio Technologies,Knoxville,Knox,35.965586,-83.921438,address_or_site,high,operational,interconnection_facility,core_data_center,0.992513351398504,C4 Knoxville area,0.4268084066683132,2.859111353593593,14.090986329547407,500.0,2,0.2191797735874382,0.5679865991787838,0.355008815222425,1220,47093,Knox County,12,395.0,968.0,27,1975.0,1048.0,242117,12519,G,4993.0,237.0,G,13096.0,1306.0,G,confirmed_master
TNDC-019,primary,CleanSpark Lenoir City Bitcoin Mining Facility,"CleanSpark, Inc.",Lenoir City,Loudon,35.7973,-84.256,approximate,medium,operational,crypto_mining,crypto_mining,4.917109437996493,C4 Knoxville area,0.1749519251604409,0.7331509214128205,7.003961137321444,500.0,2,0.0156475901485648,3.9786798846338463,0.4660022321881332,1210,47105,Loudon County,14,390.0,969.0,28,495.0,978.0,14920,1027,G,374.0,12.0,J,666.0,66.0,H,confirmed_master
TNDC-020,primary,CleanSpark Limestone Bitcoin Mining Facility (closed 2026),"CleanSpark, Inc.",Limestone,Washington,36.2235,-82.625,approximate,medium,cancelled,crypto_mining,crypto_mining,57.045255277578455,Noise / isolated,0.190786926193177,2.1251177094146807,17.66443363436844,500.0,1,1.474933927023007,16.368752508779316,0.495141034497529,1148,47179,Washington County,8,224.0,23.0,33,749.0,74.0,56072,3076,G,771.0,56.0,H,1514.0,197.0,H,confirmed_master
TNDC-021,primary,Arnold Air Force Base Data Center,Arnold Engineering Development Complex (AEDC),Manchester,Coffee,35.37539,-86.07293,approximate_site,medium,cancelled,data_center,core_data_center,43.6773958414442,Noise / isolated,1.4658739374691323,1.4658739374691323,3.778594864329164,500.0,1,5.375552404498445,6.896218127128046,0.1760684700295366,1018,47031,Coffee County,5,67.0,0.0,38,929.0,937.0,21060,1308,G,298.0,22.0,H,1083.0,77.0,H,confirmed_master
TNDC-022,primary,CleanSpark Maynardville Bitcoin Mining Facility,"CleanSpark, Inc.",Maynardville,Union,36.2506,-83.7974,approximate,medium,operational,crypto_mining,crypto_mining,27.74221155274318,Noise / isolated,0.0349440603714979,10.264845416036176,11.767292743393927,500.0,1,0.1754402631891888,25.255352267090117,0.1102396338194165,985,47173,Union County,15,420.0,965.0,25,1973.0,994.0,1971,228,G,65.0,7.0,H,91.0,12.0,J,confirmed_master
TNDC-023,primary,Hixson Data Center (McMinnville),Hixson Data Center,McMinnville,Warren,35.718937,-85.83887,approximate_site,medium,proposed,data_center,core_data_center,7.55864423304588,Noise / isolated,3.670810269189298,3.670810269189298,43.05319069901394,161.0,1,1.639881477326324,32.901569856081274,0.685404786228203,895,47177,Warren County,3,213.0,52.0,52,1307.0,958.0,9738,781,H,196.0,12.0,H,170.0,46.0,H,confirmed_master
TNDC-024,primary,Litewire McMinnville (former A.O. Smith Building),Litewire,McMinnville,Warren,35.69221,-85.7619,exact,high,operational,data_center,core_data_center,7.55864423304588,Noise / isolated,2.132477135416224,2.132477135416224,38.88347996553414,161.0,1,0.4944864850989494,35.95161008183839,0.7994885219051292,841,47177,Warren County,2,14.0,0.0,40,935.0,552.0,9738,781,H,196.0,12.0,H,170.0,46.0,H,confirmed_master
TNDC-026,primary,DataBank Memphis (MEM1),DataBank,Memphis,Shelby,35.203086,-89.808615,address_or_site,high,operational,data_center,core_data_center,6.5393152771957945,C1 Memphis area,1.801478760362311,1.801478760362311,6.51808905597597,500.0,2,0.1614199250776193,1.4795104512074932,0.4020932115671458,1606,47157,Shelby County,27,956.0,286.0,36,1218.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-027,primary,EdgeConneX Memphis (EDCMEM01),EdgeConneX Inc.,Memphis,Shelby,35.038995,-89.88623,address_or_site,high,operational,interconnection_facility,core_data_center,0.3454071544348475,C1 Memphis area,0.4488855567176492,3.197151023892995,3.197151023892995,500.0,2,2.045267858764466,4.738141350151713,0.1410492800953825,1240,47157,Shelby County,29,1106.0,296.0,35,1204.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-028,primary,Expedient Memphis,Expedient,Memphis,Shelby,35.062965,-89.786143,address_or_site,high,operational,interconnection_facility,core_data_center,9.26082548446652,C1 Memphis area,2.743864322292094,2.743864322292094,4.203553032602433,500.0,2,1.7586309331365042,8.267327931912364,0.2850046653473752,1366,47157,Shelby County,28,959.0,286.0,36,1235.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-029,primary,Level(3) Memphis,Lumen Technologies Inc,Memphis,Shelby,35.028826,-89.930755,address_or_site,high,operational,interconnection_facility,core_data_center,0.6115269873530994,C1 Memphis area,0.3074476694115916,3.465447418191996,3.465447418191996,500.0,3,0.5701825438554421,5.5848875252100845,0.4033270583573426,1185,47157,Shelby County,28,1103.0,296.0,35,1204.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-030,primary,xAI Colossus 1,xAI,Memphis,Shelby,35.05983,-90.1562,address_or_site,high,operational,data_center,core_data_center,12.992330991063133,C1 Memphis area,0.3825056426327811,0.3825056426327811,0.6164401627809571,500.0,3,7.504371525109421,7.836205367039168,1.966385380374673,1123,47157,Shelby County,27,956.0,286.0,36,1231.0,540.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-031,primary,xAI Colossus 2,xAI,Memphis,Shelby,34.998074,-90.03507,address_or_site,high,expanding,data_center,core_data_center,9.853330615022765,C1 Memphis area,0.331100853314858,0.5450873034591647,0.5450873034591647,500.0,3,0.9131365437319892,2.9605312398261776,0.5167153407544153,1127,47157,Shelby County,28,1103.0,296.0,34,1174.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-032,primary,DC BLOX Nashville (Grassmere Park),DC BLOX,Nashville,Davidson,36.090492,-86.74721,address_or_site,high,proposed,data_center,core_data_center,1.5634296886992427,C2 Nashville area,0.115983122705762,0.6606674404981177,11.2366852000021,500.0,1,1.0324548896531869,1.3766893607197908,0.5877614886412902,893,47037,Davidson County,38,949.0,519.0,50,1172.0,522.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-033,primary,EdgeConneX Nashville (EDCNAS01),EdgeConneX Inc.,Nashville,Davidson,36.144881,-86.701721,address_or_site,high,operational,interconnection_facility,core_data_center,1.976314023135052,C2 Nashville area,0.121071942828338,0.121071942828338,13.534945397120635,500.0,1,0.1172400237093578,0.1172400237093578,0.6475982838099955,846,47037,Davidson County,38,949.0,519.0,55,1623.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-034,primary,H5 Data Centers Nashville,H5 Data Centers,Nashville,Davidson,36.1628,-86.77863,address_or_site,high,operational,data_center,core_data_center,0.2086854803185778,C2 Nashville area,0.3316205949751729,1.5872554210648755,19.647452385720698,500.0,1,0.2355441969279202,1.2137968750288166,0.4253171342582417,940,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-035,primary,H5 Data Centers Nashville (TN01),IRIS,Nashville,Davidson,36.162621,-86.776316,address_or_site,high,operational,interconnection_facility,core_data_center,0.2086854803185778,C2 Nashville area,0.1640777880258871,1.4811008140686903,19.542920530071527,500.0,1,0.1203295080290079,1.10915247143415,0.2693965447065286,934,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-036,primary,Level(3) Nashville (9th Ave),Lumen Technologies Inc,Nashville,Davidson,36.189148,-86.804111,address_or_site,high,operational,interconnection_facility,core_data_center,2.3989227738591374,C2 Nashville area,0.2273852455170062,2.113753637504367,19.6969167183482,500.0,1,0.2266622130345049,0.747404067564151,1.4459045910957635,945,47037,Davidson County,34,665.0,467.0,55,1667.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-037,primary,Level(3) Nashville (Sidco Drive),Lumen Technologies Inc,Nashville,Davidson,36.102726,-86.755786,address_or_site,high,operational,interconnection_facility,core_data_center,1.5634296886992427,C2 Nashville area,0.0719328320559844,0.0719328320559844,12.79322332420262,500.0,1,0.8043017565536495,0.8043017565536495,1.042069394443569,902,47037,Davidson County,38,949.0,519.0,51,1172.0,522.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-038,primary,Peace Communications NSH2,Scipio Technologies,Nashville,Davidson,36.103326,-86.668932,address_or_site,high,operational,interconnection_facility,core_data_center,5.053066150501399,C2 Nashville area,0.0707119478126202,1.0205936549853298,8.266680964276182,500.0,1,0.101192712090354,3.367226120148101,0.216468617040965,809,47037,Davidson County,38,949.0,519.0,55,1623.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-039,primary,Quantum Leap Data Center/ Fisk University,,Nashville,Davidson,36.167574,-86.8041028,address_or_site,high,proposed,data_center,core_data_center,1.735944713176277,C2 Nashville area,0.3583329681780802,1.2702551176752837,19.413290132561848,500.0,1,0.3489538946991903,0.3489538946991903,1.3238321098183508,963,47037,Davidson County,35,665.0,467.0,55,1588.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-040,primary,RadiusDC Nashville I,RadiusDC,Nashville,Davidson,36.27987,-86.7837,approximate,medium,under_construction,data_center,core_data_center,10.252603292630416,C2 Nashville area,0.9431874961031312,0.9431874961031312,17.882198943230637,500.0,1,0.0351958031727906,1.3327258192916658,0.142918790272357,953,47037,Davidson County,34,665.0,467.0,54,1667.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-041,primary,XO Nashville,XO,Nashville,Davidson,36.158837,-86.772516,address_or_site,high,operational,interconnection_facility,core_data_center,0.5416832532175047,C2 Nashville area,0.2114381637319143,0.979748508254938,19.02158182459572,500.0,1,0.0221684540655779,0.8721446837344404,0.3177463534475093,922,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-042,primary,Zayo Nashville - 209 10th Ave. S,DataBank,Nashville,Davidson,36.155165,-86.782559,address_or_site,high,operational,interconnection_facility,core_data_center,0.919336050690768,C2 Nashville area,0.7363645579344529,1.238191763901084,19.042220946222173,500.0,1,0.2262446919391716,0.4932669783149543,1.21434260846641,944,47037,Davidson County,36,750.0,467.0,56,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-043,primary,CleanSpark New Tazewell Bitcoin Mining Facility,"CleanSpark, Inc.",New Tazewell,Claiborne,36.4426,-83.5996,approximate,medium,operational,crypto_mining,crypto_mining,27.74221155274318,Noise / isolated,2.0152424357641316,2.0152424357641316,25.06971285347489,161.0,2,0.5694106398496785,43.67052319965182,1.849218320891234,855,47025,Claiborne County,6,39.0,0.0,26,2241.0,996.0,7084,466,G,38.0,6.0,H,129.0,29.0,G,confirmed_master
TNDC-044,primary,CleanSpark Oneida Bitcoin Mining Facility,"CleanSpark, Inc.",Oneida,Scott,36.4981,-84.5127,approximate,medium,operational,crypto_mining,crypto_mining,7.65235803152038,Noise / isolated,1.7243463363400615,1.7243463363400615,51.34799871300031,161.0,2,0.2027920201141038,20.897119695906408,0.2302877542446328,928,47151,Scott County,3,1484.0,26.0,29,2869.0,1335.0,4173,351,G,49.0,12.0,J,35.0,14.0,G,confirmed_master
TNDC-045,primary,CleanSpark Winfield Bitcoin Mining Facility,"CleanSpark, Inc.",Winfield,Scott,36.5467887,-84.4521787,address_or_site,high,operational,crypto_mining,crypto_mining,7.65235803152038,Noise / isolated,0.1251214503645664,0.1251214503645664,43.99028734704144,161.0,2,0.744571894380068,18.88814560524287,0.1155601680918731,967,47151,Scott County,3,1484.0,26.0,25,2746.0,996.0,4173,351,G,49.0,12.0,J,35.0,14.0,G,confirmed_master
TNDC-046,primary,LCUB Data Center,Lenoir City Utilities Board,Lenoir City,Loudon,35.840815,-84.265703,address_or_site,high,operational,data_center,core_data_center,4.917109437996493,C4 Knoxville area,0.3175809708941679,0.3175809708941679,11.011105990163353,500.0,1,0.4505027023461488,0.5301486747649652,0.2583308641238066,1234,47105,Loudon County,13,390.0,968.0,30,507.0,978.0,14920,1027,G,374.0,12.0,J,666.0,66.0,H,confirmed_master
TNDC-047,primary,TenHats Knoxville Data Center,TenHats,Knoxville,Knox,35.97048129,-83.91221605,approximate_site,medium,operational,data_center,core_data_center,0.992513351398504,C4 Knoxville area,0.0486728763684856,3.7947914042191337,14.190962703158428,500.0,2,0.3630747475924,0.7699289531659047,0.112354637998837,1231,47093,Knox County,12,395.0,968.0,26,1967.0,1048.0,242117,12519,G,4993.0,237.0,G,13096.0,1306.0,G,confirmed_master
TNDC-048,primary,Infinity Data Center,Infinity Data Center,Knoxville,Knox,35.9585,-84.1392,address_or_site,high,operational,data_center,core_data_center,1.4454623860169304,C4 Knoxville area,1.3598517309135123,1.378281471825916,1.6120211739270764,500.0,1,1.169009252566629,5.338593636801503,0.0259528255880626,1177,47093,Knox County,14,404.0,968.0,27,1928.0,1004.0,242117,12519,G,4993.0,237.0,G,13096.0,1306.0,G,confirmed_master
TNDC-049,primary,Windstream / Uniti Knoxville,Uniti Wholesale,Knoxville,Knox,35.95217137,-84.12517265,approximate_site,medium,operational,interconnection_facility,core_data_center,1.4454623860169304,C4 Knoxville area,1.403542243702083,1.403542243702083,1.403542243702083,500.0,2,0.1525331462117285,4.421398391309641,0.1244458600637066,1194,47093,Knox County,14,404.0,968.0,28,1936.0,1004.0,242117,12519,G,4993.0,237.0,G,13096.0,1306.0,G,confirmed_master
TNDC-050,primary,Aeneas Data Center,Aeneas Internet and Telephone,Jackson,Madison,35.6163439553,-88.8159272209,address_or_site,high,operational,interconnection_facility,core_data_center,4.365935265331043,Noise / isolated,2.8590383758194164,2.8590383758194164,9.40933125627591,500.0,1,0.3051082522058725,6.10578479026357,1.1704272775317783,1376,47113,Madison County,8,90.0,6.0,18,163.0,28.0,55344,2598,G,464.0,32.0,H,1001.0,139.0,G,confirmed_master
TNDC-051,primary,MCA Chattanooga Data Center,MCA Technology Solutions,Chattanooga,Hamilton,35.07589,-85.18455,address_or_site,high,operational,data_center,core_data_center,10.771741932562746,C3 Chattanooga area,0.3477659403392347,0.3477659403392347,9.002526174550091,500.0,1,0.2179821528089125,4.440412587403477,0.220688502890341,1173,47065,Hamilton County,16,313.0,161.0,27,529.0,162.0,205761,9883,G,3565.0,174.0,G,10146.0,937.0,G,confirmed_master
TNDC-052,primary,Data Suites Murfreesboro,Data Suites,Murfreesboro,Rutherford,35.856076,-86.405338,address_or_site,high,operational,data_center,core_data_center,17.477420413451394,Noise / isolated,1.7083487826864354,1.7083487826864354,17.320638167725356,500.0,1,0.1272572601694827,2.646802318868086,0.4438700880493592,664,47149,Rutherford County,28,759.0,458.0,53,1215.0,858.0,128935,6285,G,897.0,93.0,H,5057.0,441.0,G,confirmed_master
TNDC-053,primary,Windstream / Uniti Brentwood,Uniti Wholesale,Brentwood,Williamson,36.037186,-86.806206,address_or_site,high,operational,interconnection_facility,core_data_center,7.201622189296421,C2 Nashville area,1.8279218635089325,1.8279218635089325,6.530205327468523,500.0,1,0.169894974354871,2.076589381175805,0.0755279788635552,991,47187,Williamson County,38,949.0,519.0,51,1188.0,522.0,149544,8707,G,4817.0,293.0,H,12710.0,1322.0,G,confirmed_master
TNDC-054,primary,Lumen Nashville 2,Lumen Technologies,Nashville,Davidson,36.14787701,-86.68002591,approximate_site,medium,operational,data_center,core_data_center,1.976314023135052,C2 Nashville area,0.5359714148150394,0.5359714148150394,12.30715632663763,500.0,1,0.5647373518848544,0.5647373518848544,0.1422154514615573,853,47037,Davidson County,38,949.0,519.0,55,1623.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-055,primary,Lumen Nashville 4 / Berry Hill,Lumen Technologies,Nashville,Davidson,36.1202759,-86.7623382,address_or_site,high,operational,data_center,core_data_center,1.510841476707156,C2 Nashville area,0.6092041304101868,0.6092041304101868,14.781532831661425,500.0,1,0.0294158088330879,0.0294158088330879,0.8057133630999617,911,47037,Davidson County,38,949.0,519.0,55,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-056,primary,Saragon Nashville,Saragon,Nashville,Davidson,36.13170626,-86.75324366,approximate_site,medium,operational,data_center,core_data_center,1.510841476707156,C2 Nashville area,0.2987076008641238,0.2987076008641238,15.577122714327889,500.0,1,0.224520073306856,0.9650322224514756,0.6129462036681714,900,47037,Davidson County,38,949.0,519.0,55,1609.0,617.0,526927,22122,G,16596.0,704.0,G,33740.0,2441.0,G,confirmed_master
TNDC-057,primary,WorldSpice Data Center,WorldSpice Technologies,Memphis,Shelby,35.1132403,-89.8928537,address_or_site,high,operational,data_center,core_data_center,0.536086088636087,C1 Memphis area,0.2021176968700708,0.2021176968700708,5.958812171188375,500.0,3,0.1674602325282303,2.111826646225866,0.5067458598584822,1359,47157,Shelby County,27,956.0,286.0,35,1204.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-058,primary,Connect Data Centers Memphis,Connect Data Centers,Memphis,Shelby,35.0417724,-89.8845309,address_or_site,high,operational,data_center,core_data_center,0.3454071544348475,C1 Memphis area,0.6310822975962274,3.437632206786213,3.437632206786213,500.0,2,2.353354596410896,4.514833120388392,0.0972216616329214,1250,47157,Shelby County,29,1106.0,296.0,35,1204.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-059,primary,5C MEM01,5C,Memphis,Shelby,35.0327269,-89.9354893,approximate_site,medium,under_construction,data_center,core_data_center,0.6115269873530994,C1 Memphis area,0.8973628978282975,4.027798856933369,4.027798856933369,500.0,3,0.1258764639860509,5.205206220710836,0.2826489190682394,1192,47157,Shelby County,28,1103.0,296.0,35,1204.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-060,primary,The STEM Practice Memphis,The STEM Practice,Memphis,Shelby,35.161945,-89.860031,address_or_site,high,proposed,data_center,core_data_center,6.183699762877351,C1 Memphis area,1.3226434909323577,1.3226434909323577,7.118945210680754,500.0,3,0.3797875155960548,0.3797875155960548,0.8328101602034235,1423,47157,Shelby County,27,956.0,286.0,36,1235.0,481.0,446048,19359,G,4823.0,318.0,G,20108.0,1599.0,G,confirmed_master
TNDC-061,primary,Humboldt / Gibson County Crypto Mining Facility,Undisclosed private developer (Humboldt Utilities customer),Humboldt,Gibson,35.842805,-88.921847,approximate_site,medium,under_construction,crypto_mining,crypto_mining,23.739097663615286,Noise / isolated,4.485592853711683,7.9269330290775875,16.95648787706169,500.0,1,0.6314902866766976,20.670084890856504,0.3366153606477722,1459,47053,Gibson County,9,116.0,5.0,16,193.0,28.0,12656,951,G,173.0,20.0,G,192.0,41.0,H,confirmed_master
